time,open,close,low,high,volume
2020-01-02 07:00:00,21.08,21.18,20.97,21.33,896720
2020-01-03 07:00:00,21.29,20.82,20.75,21.37,2047880
2020-01-06 07:00:00,20.64,20.61,20.54,20.82,1091660
2020-01-07 07:00:00,20.72,21.0,20.61,21.0,837240
2020-01-08 07:00:00,20.79,20.54,20.54,20.86,1814290
2020-01-09 07:00:00,20.72,20.82,20.64,20.86,967050
2020-01-10 07:00:00,20.79,20.79,20.64,20.9,1018650
2020-01-13 07:00:00,20.75,20.64,20.61,20.82,786760
2020-01-14 07:00:00,20.64,20.61,20.61,20.75,721680
2020-01-15 07:00:00,20.61,20.61,20.54,20.64,940870
2020-01-16 07:00:00,20.61,20.97,20.61,21.04,1942970
2020-01-17 07:00:00,20.97,20.82,20.61,21.0,1388810
2020-01-20 07:00:00,20.79,20.75,20.68,20.97,1227100
2020-01-21 07:00:00,20.9,20.07,20.07,20.97,4351820
2020-01-22 07:00:00,19.88,20.43,19.77,20.43,3165650
2020-01-30 07:00:00,19.99,19.77,19.49,20.17,2638460
2020-01-31 07:00:00,19.52,18.8,18.8,19.85,4118150
2020-02-03 07:00:00,17.93,18.62,17.72,18.98,3602970
2020-02-04 07:00:00,18.94,18.73,18.44,18.94,1651440
2020-02-05 07:00:00,18.91,18.8,18.8,19.09,1648620
2020-02-06 07:00:00,18.98,19.38,18.73,19.38,1708550
2020-02-07 07:00:00,19.16,19.27,19.09,19.34,1218660
2020-02-10 07:00:00,18.94,19.02,18.84,19.16,738090
2020-02-11 07:00:00,19.12,19.38,19.05,19.41,1085380
2020-02-12 07:00:00,19.45,19.56,19.41,19.77,1104870
2020-02-13 07:00:00,19.56,19.63,19.41,19.7,1030570
2020-02-14 07:00:00,19.56,19.7,19.52,19.7,884240
2020-02-17 07:00:00,19.74,19.6,19.52,19.74,726390
2020-02-18 07:00:00,19.67,20.24,19.63,20.24,1760940
2020-02-19 07:00:00,20.21,20.14,20.07,20.32,681250
2020-02-20 07:00:00,20.28,20.17,20.07,20.39,780810
2020-02-21 07:00:00,20.21,19.77,19.77,20.21,1458040
2020-02-24 07:00:00,19.2,18.98,18.98,19.49,2261990
2020-02-25 07:00:00,18.84,19.52,18.8,19.52,1407720
2020-02-26 07:00:00,19.3,19.88,19.16,19.96,3221270
2020-02-27 07:00:00,19.88,20.24,19.74,20.43,2927040
2020-02-28 07:00:00,19.88,19.92,19.74,20.14,2132200
2020-03-02 07:00:00,19.92,20.14,19.81,20.32,1787060
2020-03-03 07:00:00,20.32,20.21,20.14,20.61,1193800
2020-03-04 07:00:00,20.07,20.07,19.85,20.07,1660790
2020-03-05 07:00:00,20.07,19.74,19.74,20.21,1296450
2020-03-06 07:00:00,19.6,19.52,19.34,19.63,1305030
2020-03-09 07:00:00,18.51,18.18,18.18,18.8,4735140
2020-03-10 07:00:00,18.44,18.69,18.18,18.8,2030340
2020-03-11 07:00:00,18.8,18.36,17.9,18.98,2753310
2020-03-12 07:00:00,17.57,17.39,17.1,17.82,3981670
2020-03-13 07:00:00,16.38,17.41,16.34,18.08,2919140
2020-03-16 07:00:00,17.41,17.21,17.17,17.97,1898960
2020-03-17 07:00:00,16.99,17.53,16.81,17.53,2474650
2020-03-18 07:00:00,17.72,17.5,17.48,17.75,1642800
2020-03-19 07:00:00,17.21,17.24,17.21,17.39,1296590
2020-03-20 07:00:00,17.42,17.24,17.12,17.44,1291360
2020-03-23 07:00:00,16.67,16.05,16.05,16.95,2826690
2020-03-24 07:00:00,16.27,16.09,15.73,16.27,2191500
2020-03-25 07:00:00,16.63,16.63,16.32,16.77,2131790
2020-03-26 07:00:00,16.45,15.98,15.98,16.58,2358310
2020-03-27 07:00:00,16.05,15.58,15.51,16.05,2633750
2020-03-30 07:00:00,14.64,14.61,14.5,14.86,2157690
2020-03-31 07:00:00,15.0,14.86,14.5,15.33,1663050
2020-04-01 07:00:00,14.75,15.29,14.75,15.62,1453030
2020-04-03 07:00:00,15.54,16.12,15.44,16.14,2072000
2020-04-06 07:00:00,16.63,17.17,16.45,17.17,2718990
2020-04-07 07:00:00,17.17,17.1,16.81,17.24,2463810
2020-04-08 07:00:00,16.67,16.94,16.54,17.01,1576670
2020-04-09 07:00:00,16.99,16.94,16.81,17.21,2142370
2020-04-10 07:00:00,16.85,16.77,16.59,16.99,1882020
2020-04-13 07:00:00,16.77,16.81,16.67,16.99,1255360
2020-04-14 07:00:00,17.21,17.9,16.99,17.9,4072050
2020-04-15 07:00:00,18.26,18.11,18.02,18.36,2205200
2020-04-16 07:00:00,17.97,18.18,17.82,18.36,1508480
2020-04-17 07:00:00,18.51,18.51,18.15,18.55,2631630
2020-04-20 07:00:00,18.76,18.55,18.33,18.8,2239780
2020-04-21 07:00:00,18.26,17.82,17.68,18.4,3737050
2020-04-22 07:00:00,17.64,18.47,17.61,18.51,2445860
2020-04-23 07:00:00,18.84,18.44,18.44,18.87,1363410
2020-04-24 07:00:00,18.4,18.44,18.11,18.51,1411380
2020-04-27 07:00:00,18.62,18.33,18.26,18.62,1419750
2020-04-28 07:00:00,18.33,18.33,18.15,18.36,974310
2020-04-29 07:00:00,18.36,18.36,18.26,18.58,1349230
2020-05-04 07:00:00,18.15,18.26,18.0,18.4,895530
2020-05-05 07:00:00,18.36,18.4,18.22,18.44,677990
2020-05-06 07:00:00,18.44,19.12,18.44,19.2,3470150
2020-05-07 07:00:00,19.16,19.34,18.94,19.34,2030720
2020-05-08 07:00:00,19.38,19.41,19.38,19.92,3585320
2020-05-11 07:00:00,19.52,19.52,19.27,19.67,2119430
2020-05-12 07:00:00,19.52,19.67,19.38,19.67,2828190
2020-05-13 07:00:00,20.11,20.9,20.07,20.98,6853810
2020-05-14 07:00:00,20.72,20.62,20.54,20.79,2597400
2020-05-15 07:00:00,20.45,20.32,20.22,20.7,2430890
2020-05-18 07:00:00,20.11,20.47,20.07,20.47,2000950
2020-05-19 07:00:00,20.83,20.85,20.58,21.04,2879030
2020-05-20 07:00:00,20.75,20.7,20.56,20.75,1245380
2020-05-21 07:00:00,20.7,20.87,20.68,20.87,2007060
2020-05-22 07:00:00,20.75,20.51,20.51,20.75,1731720
2020-05-25 07:00:00,20.54,20.51,20.24,20.58,2033000
2020-05-26 07:00:00,20.54,20.66,20.47,20.66,1615680
2020-05-27 07:00:00,20.7,20.32,20.32,20.92,2098580
2020-05-28 07:00:00,20.41,20.32,20.32,20.58,1194380
2020-05-29 07:00:00,20.32,20.3,20.11,20.36,1346170
2020-06-01 07:00:00,20.32,20.45,20.32,20.47,1298150
2020-06-02 07:00:00,20.45,20.32,20.32,20.54,1456730
2020-06-03 07:00:00,20.32,20.6,20.28,20.72,1893060
2020-06-04 07:00:00,20.7,20.49,20.49,20.7,1260060
2020-06-05 07:00:00,20.49,20.62,20.39,20.62,1236200
2020-06-08 07:00:00,20.75,20.9,20.75,21.17,4113250
2020-06-09 07:00:00,21.0,20.72,20.7,21.02,1491540
2020-06-10 07:00:00,20.75,20.66,20.49,20.75,1307540
2020-06-11 07:00:00,20.66,19.48,19.48,20.66,4278060
2020-06-12 07:00:00,19.05,19.9,19.05,19.9,3145450
2020-06-15 07:00:00,20.32,19.48,19.43,20.32,1207500
2020-06-16 07:00:00,19.73,19.73,19.6,19.82,1100730
2020-06-17 07:00:00,19.77,19.62,19.58,19.79,788630
2020-06-18 07:00:00,19.6,19.73,19.54,19.77,822980
2020-06-19 07:00:00,19.73,19.9,19.73,19.9,745470
2020-06-22 07:00:00,19.9,19.9,19.84,19.9,787180
2020-06-23 07:00:00,19.88,20.13,19.79,20.49,1693730
2020-06-24 07:00:00,20.28,19.98,19.92,20.3,607000
2020-06-25 07:00:00,19.75,19.82,19.73,19.94,730810
2020-06-26 07:00:00,19.82,19.84,19.77,19.96,602880
2020-06-29 07:00:00,19.73,19.5,19.41,19.73,1281220
2020-06-30 07:00:00,19.54,19.33,19.22,19.65,1594210
2020-07-01 07:00:00,19.48,19.56,19.39,19.6,866660
2020-07-02 07:00:00,19.6,19.54,19.45,19.6,539160
2020-07-03 07:00:00,19.69,19.58,19.52,19.69,529760
2020-07-06 07:00:00,19.69,19.82,19.6,19.88,1089910
2020-07-07 07:00:00,19.9,20.09,19.9,20.28,2739150
2020-07-08 07:00:00,20.03,20.2,20.03,20.28,1472610
2020-07-09 07:00:00,20.28,20.47,20.24,20.49,2298900
2020-07-10 07:00:00,20.36,20.24,20.11,20.43,1164310
2020-07-13 07:00:00,20.32,20.6,20.22,20.72,2662490
2020-07-14 07:00:00,20.45,20.56,20.45,20.68,1549540
2020-07-15 07:00:00,20.62,20.58,20.49,20.72,1516540
2020-07-16 07:00:00,20.56,20.58,20.49,20.64,1060530
2020-07-17 07:00:00,20.54,20.36,20.36,20.54,1313100
2020-07-20 07:00:00,20.36,20.07,20.05,20.41,2049680
2020-07-21 07:00:00,20.11,20.24,20.01,20.3,940230
2020-07-22 07:00:00,20.32,20.07,20.03,20.32,817890
2020-07-23 07:00:00,20.07,20.22,19.94,20.22,918630
2020-07-24 07:00:00,20.07,19.43,19.22,20.13,3170540
2020-07-27 07:00:00,19.05,18.5,18.46,19.43,3274350
2020-07-28 07:00:00,18.8,19.35,18.69,19.39,1953510
2020-07-29 07:00:00,18.8,18.86,18.55,19.01,1554200
2020-07-30 07:00:00,18.88,19.12,18.88,19.12,612240
2020-07-31 07:00:00,18.63,18.84,18.63,19.14,1106250
2020-08-03 07:00:00,18.84,19.43,18.84,19.43,1392200
2020-08-04 07:00:00,19.69,19.71,19.56,19.82,1051310
2020-08-05 07:00:00,19.69,19.9,19.58,19.96,1328520
2020-08-06 07:00:00,19.9,19.82,19.77,20.01,1153660
2020-08-07 07:00:00,19.82,19.94,19.82,20.24,1283690
2020-08-10 07:00:00,20.05,19.98,19.94,20.24,1160370
2020-08-11 07:00:00,20.09,19.9,19.9,20.09,1209690
2020-08-12 07:00:00,19.94,20.11,19.86,20.11,1233230
2020-08-13 07:00:00,20.2,20.3,20.11,20.3,1709100
2020-08-14 07:00:00,20.36,20.24,20.09,20.41,1633770
2020-08-17 07:00:00,20.28,20.32,20.11,20.32,1048820
2020-08-18 07:00:00,20.32,20.26,20.24,20.39,625200
2020-08-19 07:00:00,20.28,20.26,20.17,20.35,877190
2020-08-20 07:00:00,20.28,20.35,20.26,20.52,1824430
2020-08-21 07:00:00,20.43,20.5,20.41,20.54,1260210
2020-08-24 07:00:00,20.74,20.95,20.69,21.02,3540210
2020-08-25 07:00:00,21.02,21.12,21.0,21.17,3304670
2020-08-26 07:00:00,21.1,20.93,20.84,21.12,1328990
2020-08-27 07:00:00,20.87,21.56,20.87,21.67,3724990
2020-08-28 07:00:00,21.71,21.58,21.58,22.1,4009380
2020-08-31 07:00:00,21.58,21.41,21.34,21.75,1940640
2020-09-01 07:00:00,21.41,21.58,21.34,21.84,1757410
2020-09-03 07:00:00,21.8,21.8,21.58,21.84,2281510
2020-09-04 07:00:00,21.41,21.62,21.41,21.62,1538510
2020-09-07 07:00:00,21.6,20.97,20.97,21.62,2270970
2020-09-08 07:00:00,21.08,21.41,20.97,21.41,1628870
2020-09-09 07:00:00,21.04,21.28,21.02,21.41,1490820
2020-09-10 07:00:00,21.41,21.28,21.23,21.54,1005950
2020-09-11 07:00:00,21.19,21.26,21.12,21.28,872160
2020-09-14 07:00:00,21.3,21.32,21.23,21.41,1127400
2020-09-15 07:00:00,21.41,21.62,21.32,21.62,1906730
2020-09-16 07:00:00,21.62,21.84,21.62,21.97,1918130
2020-09-17 07:00:00,21.75,21.62,21.58,21.84,1563010
2020-09-18 07:00:00,21.67,22.14,21.62,22.23,3306720
2020-09-21 07:00:00,22.18,22.14,22.14,22.36,1530250
2020-09-22 07:00:00,21.97,22.18,21.88,22.18,1630570
2020-09-23 07:00:00,22.18,22.1,21.97,22.27,1797680
2020-09-24 07:00:00,21.92,21.84,21.71,22.06,1728380
2020-09-25 07:00:00,21.92,21.97,21.62,21.97,1205550
