time,open,close,low,high,volume
2020-01-02 07:00:00,8.1,8.27,8.04,8.27,4232230
2020-01-03 07:00:00,8.34,8.32,8.29,8.39,7832210
2020-01-06 07:00:00,8.27,8.27,8.22,8.35,5371060
2020-01-07 07:00:00,8.3,8.17,8.13,8.34,4871220
2020-01-08 07:00:00,8.1,8.08,7.98,8.15,6421130
2020-01-09 07:00:00,8.13,8.27,8.13,8.32,4613440
2020-01-10 07:00:00,8.3,8.34,8.29,8.46,10006180
2020-01-13 07:00:00,8.34,8.35,8.3,8.41,4456520
2020-01-14 07:00:00,8.35,8.61,8.34,8.63,9565300
2020-01-15 07:00:00,8.63,8.67,8.58,8.73,5881520
2020-01-16 07:00:00,8.61,8.72,8.6,8.73,6855030
2020-01-17 07:00:00,8.72,8.61,8.58,8.84,6329150
2020-01-20 07:00:00,8.61,8.79,8.51,8.79,5711790
2020-01-21 07:00:00,8.87,8.91,8.8,8.96,5911660
2020-01-22 07:00:00,8.91,9.06,8.91,9.1,8919900
2020-01-30 07:00:00,8.8,8.72,8.6,8.92,13028790
2020-01-31 07:00:00,8.61,8.3,8.3,8.72,10994970
2020-02-03 07:00:00,8.03,8.46,7.82,8.54,12079180
2020-02-04 07:00:00,8.49,8.48,8.3,8.54,8086090
2020-02-05 07:00:00,8.56,8.42,8.34,8.61,6938550
2020-02-06 07:00:00,8.39,8.68,8.37,8.68,9214150
2020-02-07 07:00:00,8.68,8.39,8.34,8.72,8120240
2020-02-10 07:00:00,8.27,8.39,8.25,8.49,4794830
2020-02-11 07:00:00,8.42,8.13,8.08,8.48,12551620
2020-02-12 07:00:00,8.1,8.2,8.08,8.32,9581940
2020-02-13 07:00:00,8.18,8.17,8.13,8.23,5263180
2020-02-14 07:00:00,8.13,8.17,8.04,8.18,5052290
2020-02-17 07:00:00,8.17,8.18,8.13,8.22,2716840
2020-02-18 07:00:00,8.22,8.03,8.03,8.22,7456030
2020-02-19 07:00:00,8.03,8.01,7.96,8.08,5481650
2020-02-20 07:00:00,8.08,8.18,8.01,8.18,5225250
2020-02-21 07:00:00,8.18,8.11,8.1,8.2,4513960
2020-02-24 07:00:00,7.84,7.82,7.82,7.98,12938030
2020-02-25 07:00:00,7.79,7.96,7.79,7.96,5303830
2020-02-26 07:00:00,7.84,7.84,7.82,7.92,4502880
2020-02-27 07:00:00,7.82,7.91,7.82,7.94,3318240
2020-02-28 07:00:00,7.77,7.7,7.67,7.86,6583970
2020-03-02 07:00:00,7.65,7.68,7.65,7.75,3957540
2020-03-03 07:00:00,7.86,7.68,7.68,7.86,4411940
2020-03-04 07:00:00,7.72,7.7,7.7,7.79,2946050
2020-03-05 07:00:00,7.79,7.7,7.7,7.8,2594810
2020-03-06 07:00:00,7.7,7.72,7.67,7.73,3035470
2020-03-09 07:00:00,7.18,7.18,7.18,7.42,16567350
2020-03-10 07:00:00,7.06,7.46,7.06,7.49,8137980
2020-03-11 07:00:00,7.48,7.08,6.94,7.51,8527920
2020-03-12 07:00:00,6.74,6.63,6.6,6.82,13041040
2020-03-13 07:00:00,6.22,6.56,6.18,6.79,12836580
2020-03-16 07:00:00,6.62,6.58,6.53,6.84,9283920
2020-03-17 07:00:00,6.41,6.62,6.41,6.65,6053400
2020-03-18 07:00:00,6.68,6.79,6.67,6.93,10396530
2020-03-19 07:00:00,6.68,6.6,6.51,6.72,7773200
2020-03-20 07:00:00,6.63,6.41,6.41,6.65,13401260
2020-03-23 07:00:00,5.99,5.96,5.96,6.2,12947170
2020-03-24 07:00:00,5.86,5.89,5.74,5.98,13831390
2020-03-25 07:00:00,6.15,6.13,5.99,6.15,7758210
2020-03-26 07:00:00,6.05,5.84,5.82,6.06,8514960
2020-03-27 07:00:00,5.82,5.58,5.44,5.86,13442640
2020-03-30 07:00:00,5.27,5.63,5.25,5.75,10870540
2020-03-31 07:00:00,5.63,5.81,5.25,5.98,11163440
2020-04-01 07:00:00,5.75,5.94,5.74,6.03,4859650
2020-04-03 07:00:00,5.94,6.08,5.93,6.1,6503290
2020-04-06 07:00:00,6.25,6.49,6.17,6.49,10207240
2020-04-07 07:00:00,6.56,6.55,6.29,6.58,7655220
2020-04-08 07:00:00,6.34,6.44,6.3,6.48,5106690
2020-04-09 07:00:00,6.48,6.39,6.39,6.55,7134720
2020-04-10 07:00:00,6.37,6.48,6.3,6.55,5558450
2020-04-13 07:00:00,6.48,6.67,6.44,6.72,9039420
2020-04-14 07:00:00,6.65,6.87,6.62,6.87,8744760
2020-04-15 07:00:00,6.89,6.93,6.87,6.99,5960450
2020-04-16 07:00:00,6.87,6.98,6.8,7.03,6665670
2020-04-17 07:00:00,6.98,7.13,6.96,7.17,8818780
2020-04-20 07:00:00,7.24,7.3,7.08,7.41,9422860
2020-04-21 07:00:00,7.15,6.96,6.94,7.32,11934810
2020-04-22 07:00:00,7.06,7.17,6.99,7.34,11038450
2020-04-23 07:00:00,7.34,7.44,7.34,7.56,8345940
2020-04-24 07:00:00,7.48,7.61,7.34,7.65,8301090
2020-04-27 07:00:00,7.67,7.56,7.53,7.79,6636160
2020-04-28 07:00:00,7.58,7.37,7.32,7.61,7687010
2020-04-29 07:00:00,7.41,7.41,7.24,7.48,7447050
2020-05-04 07:00:00,7.41,7.24,7.24,7.42,4834580
2020-05-05 07:00:00,7.37,7.37,7.34,7.46,5894530
2020-05-06 07:00:00,7.42,7.65,7.41,7.65,7620940
2020-05-07 07:00:00,7.68,8.13,7.68,8.13,14733250
2020-05-08 07:00:00,8.2,8.06,8.06,8.32,12484610
2020-05-11 07:00:00,8.25,8.25,8.03,8.3,7220240
2020-05-12 07:00:00,8.15,8.15,8.06,8.23,10527620
2020-05-13 07:00:00,8.08,8.3,8.03,8.34,9608210
2020-05-14 07:00:00,8.2,8.25,8.17,8.3,6517150
2020-05-15 07:00:00,8.25,8.1,8.06,8.29,7931980
2020-05-18 07:00:00,8.42,8.65,8.27,8.65,13491620
2020-05-19 07:00:00,9.1,9.01,8.98,9.25,18842950
2020-05-20 07:00:00,8.96,9.11,8.84,9.16,11584470
2020-05-21 07:00:00,9.08,9.13,8.99,9.15,11213810
2020-05-22 07:00:00,9.08,9.39,9.04,9.46,16252810
2020-05-25 07:00:00,9.47,9.41,9.35,9.58,11168880
2020-05-26 07:00:00,9.42,9.78,9.41,9.78,11503490
2020-05-27 07:00:00,9.85,9.37,9.37,9.85,19779140
2020-05-28 07:00:00,9.47,9.37,9.27,9.51,14486370
2020-05-29 07:00:00,9.41,9.44,9.3,9.54,12580390
2020-06-01 07:00:00,9.58,9.53,9.46,9.58,8022890
2020-06-02 07:00:00,9.58,9.32,9.29,9.58,11489000
2020-06-03 07:00:00,9.32,9.29,9.16,9.37,12018120
2020-06-04 07:00:00,9.3,9.16,9.16,9.44,13488200
2020-06-05 07:00:00,9.13,9.32,9.03,9.41,13532060
2020-06-08 07:00:00,9.47,9.54,9.41,9.68,17144920
2020-06-09 07:00:00,9.63,9.34,9.29,9.65,18693450
2020-06-10 07:00:00,9.3,9.3,9.18,9.44,9871400
2020-06-11 07:00:00,9.25,8.79,8.79,9.35,22873160
2020-06-12 07:00:00,8.44,9.13,8.44,9.13,18881260
2020-06-15 07:00:00,9.06,8.75,8.73,9.13,11332840
2020-06-16 07:00:00,8.96,9.03,8.84,9.1,9024610
2020-06-17 07:00:00,9.03,9.04,8.92,9.11,7066110
2020-06-18 07:00:00,8.94,9.23,8.91,9.25,9055090
2020-06-19 07:00:00,9.3,9.42,9.3,9.42,10532760
2020-06-22 07:00:00,9.44,9.41,9.29,9.58,9729970
2020-06-23 07:00:00,9.41,9.3,9.22,9.54,11382760
2020-06-24 07:00:00,9.3,9.3,9.23,9.42,6516760
2020-06-25 07:00:00,9.2,9.41,9.15,9.58,24410040
2020-06-26 07:00:00,9.44,9.37,9.3,9.51,9363870
2020-06-29 07:00:00,9.27,9.18,9.04,9.3,12378070
2020-06-30 07:00:00,9.23,9.23,9.15,9.44,14826230
2020-07-01 07:00:00,9.3,9.44,9.27,9.47,10843030
2020-07-02 07:00:00,9.47,9.51,9.44,9.56,13000820
2020-07-03 07:00:00,9.54,9.47,9.44,9.56,8111500
2020-07-06 07:00:00,9.54,9.51,9.46,9.56,9764620
2020-07-07 07:00:00,9.56,9.77,9.54,9.96,28048770
2020-07-08 07:00:00,9.7,9.66,9.61,9.8,9155900
2020-07-09 07:00:00,9.68,9.7,9.63,9.75,7588480
2020-07-10 07:00:00,9.65,9.56,9.51,9.73,14457460
2020-07-13 07:00:00,9.49,9.53,9.39,9.6,14702360
2020-07-14 07:00:00,9.46,9.61,9.44,9.63,5757320
2020-07-15 07:00:00,9.72,9.66,9.66,9.78,6561150
2020-07-16 07:00:00,9.72,9.85,9.63,9.96,17916710
2020-07-17 07:00:00,9.89,9.84,9.84,9.91,6759400
2020-07-20 07:00:00,9.82,9.65,9.65,9.89,11602590
2020-07-21 07:00:00,9.68,9.68,9.58,9.73,11724470
2020-07-22 07:00:00,9.75,9.68,9.63,9.78,7461530
