time,open,close,low,high,volume
2020-01-02 07:00:00,9.08,9.4,9.04,9.4,1569270
2020-01-03 07:00:00,9.4,9.24,9.2,9.47,1245410
2020-01-06 07:00:00,9.2,8.96,8.96,9.24,2064670
2020-01-07 07:00:00,9.0,8.88,8.84,9.04,1893960
2020-01-08 07:00:00,8.84,8.49,8.29,8.84,5339280
2020-01-09 07:00:00,8.57,8.6,8.53,8.76,2226540
2020-01-10 07:00:00,8.64,8.76,8.53,8.8,1461150
2020-01-13 07:00:00,8.76,8.68,8.68,8.76,1298370
2020-01-14 07:00:00,8.76,8.6,8.6,8.76,1438620
2020-01-15 07:00:00,8.6,8.6,8.53,8.6,1119580
2020-01-16 07:00:00,8.68,8.68,8.6,8.72,1479520
2020-01-17 07:00:00,8.72,8.53,8.53,8.72,1629430
2020-01-20 07:00:00,8.53,8.45,8.41,8.6,1136080
2020-01-21 07:00:00,8.6,8.6,8.6,8.84,2980510
2020-01-22 07:00:00,8.68,8.76,8.64,8.8,1844340
2020-01-30 07:00:00,8.68,8.76,8.68,8.96,3263130
2020-01-31 07:00:00,8.76,8.29,8.29,8.84,2556250
2020-02-03 07:00:00,7.82,7.89,7.71,8.05,3839880
2020-02-04 07:00:00,7.97,7.5,7.5,8.05,3640180
2020-02-05 07:00:00,7.58,7.56,7.48,7.66,2301300
2020-02-06 07:00:00,7.58,7.93,7.55,7.93,2202420
2020-02-07 07:00:00,7.93,7.82,7.81,7.97,1520380
2020-02-10 07:00:00,7.66,7.64,7.62,7.74,1441160
2020-02-11 07:00:00,7.67,7.78,7.66,7.86,1775070
2020-02-12 07:00:00,7.85,8.33,7.82,8.33,3050250
2020-02-13 07:00:00,8.45,8.33,8.17,8.64,3076810
2020-02-14 07:00:00,8.33,8.21,8.13,8.33,1156570
2020-02-17 07:00:00,8.17,8.17,8.09,8.25,2084770
2020-02-18 07:00:00,8.21,8.17,8.13,8.25,1786200
2020-02-19 07:00:00,8.21,8.25,8.17,8.37,1982300
2020-02-20 07:00:00,8.29,8.6,8.29,8.64,4728350
2020-02-21 07:00:00,8.6,8.49,8.41,8.64,1762570
2020-02-24 07:00:00,8.21,7.9,7.9,8.25,3312940
2020-02-25 07:00:00,7.6,7.86,7.6,7.88,3369430
2020-02-26 07:00:00,7.66,8.05,7.66,8.21,2278130
2020-02-27 07:00:00,8.05,7.97,7.9,8.17,1045640
2020-02-28 07:00:00,7.82,7.78,7.7,7.88,2284820
2020-03-02 07:00:00,7.78,7.88,7.72,7.89,1786920
2020-03-03 07:00:00,8.05,7.84,7.84,8.09,2539230
2020-03-04 07:00:00,7.86,7.86,7.82,7.97,2680650
2020-03-05 07:00:00,8.01,8.05,7.97,8.21,3579000
2020-03-06 07:00:00,8.01,7.97,7.9,8.09,2292720
2020-03-09 07:00:00,7.42,7.42,7.42,7.74,4943410
2020-03-10 07:00:00,7.26,7.5,7.1,7.57,2871290
2020-03-11 07:00:00,7.56,7.12,7.08,7.62,5177740
2020-03-12 07:00:00,6.71,6.62,6.62,6.83,5361200
2020-03-13 07:00:00,6.17,7.03,6.17,7.03,4570810
2020-03-16 07:00:00,6.95,7.01,6.56,7.01,3241750
2020-03-17 07:00:00,6.64,6.99,6.64,7.41,3061070
2020-03-18 07:00:00,7.03,6.92,6.8,7.07,1935700
2020-03-19 07:00:00,6.72,6.69,6.63,6.86,2633250
2020-03-20 07:00:00,6.71,6.68,6.64,6.87,1980340
2020-03-23 07:00:00,6.43,6.21,6.21,6.68,4628880
2020-03-24 07:00:00,5.93,5.94,5.89,6.16,5979090
2020-03-25 07:00:00,6.22,6.2,6.13,6.25,2458770
2020-03-26 07:00:00,6.16,6.0,6.0,6.16,2129230
2020-03-27 07:00:00,5.96,6.02,5.96,6.31,3296170
2020-03-30 07:00:00,5.68,5.64,5.6,5.92,6321180
2020-03-31 07:00:00,5.64,5.6,5.41,5.78,3326670
2020-04-01 07:00:00,5.53,5.81,5.53,5.81,2786690
2020-04-03 07:00:00,5.98,6.08,5.92,6.11,4559830
2020-04-06 07:00:00,6.16,6.43,6.16,6.47,5085950
2020-04-07 07:00:00,6.47,6.31,6.2,6.47,3974120
2020-04-08 07:00:00,6.24,6.74,6.12,6.74,9412400
2020-04-09 07:00:00,7.1,6.88,6.87,7.1,8939620
2020-04-10 07:00:00,6.88,6.73,6.71,6.88,4340530
2020-04-13 07:00:00,6.71,6.95,6.71,7.1,9334920
2020-04-14 07:00:00,7.03,7.14,6.99,7.19,8810870
2020-04-15 07:00:00,7.14,7.15,7.11,7.25,5992790
2020-04-16 07:00:00,7.14,7.07,7.0,7.14,6101990
2020-04-17 07:00:00,7.18,7.14,7.11,7.22,7226610
2020-04-20 07:00:00,7.14,7.42,7.14,7.62,9313990
2020-04-21 07:00:00,7.23,7.37,7.18,7.67,8218710
2020-04-22 07:00:00,7.22,7.48,7.22,7.61,6720180
2020-04-23 07:00:00,7.63,7.5,7.5,7.65,5040470
2020-04-24 07:00:00,7.5,7.54,7.37,7.54,4195500
2020-04-27 07:00:00,7.64,7.82,7.62,7.88,7551040
2020-04-28 07:00:00,7.82,8.13,7.82,8.13,6732100
2020-04-29 07:00:00,8.33,8.33,8.13,8.45,7596170
2020-05-04 07:00:00,7.86,7.75,7.75,8.09,9813410
2020-05-05 07:00:00,7.75,7.63,7.51,7.75,4936160
2020-05-06 07:00:00,7.55,7.86,7.55,7.86,3990060
2020-05-07 07:00:00,7.86,8.05,7.86,8.05,5567040
2020-05-08 07:00:00,8.05,7.97,7.9,8.21,9446390
2020-05-11 07:00:00,8.01,8.01,7.87,8.05,6886910
2020-05-12 07:00:00,8.01,8.21,7.9,8.45,9616910
2020-05-13 07:00:00,8.21,8.13,8.01,8.33,5437450
2020-05-14 07:00:00,8.09,8.01,8.01,8.13,4737210
2020-05-15 07:00:00,8.01,7.9,7.88,8.17,6774570
2020-05-18 07:00:00,7.93,7.97,7.86,8.01,4182830
2020-05-19 07:00:00,8.13,8.05,8.01,8.13,5691970
2020-05-20 07:00:00,8.05,8.05,7.97,8.09,2829110
2020-05-21 07:00:00,8.09,8.05,7.97,8.13,3418370
2020-05-22 07:00:00,8.01,7.97,7.97,8.05,3427860
2020-05-25 07:00:00,7.97,8.05,7.9,8.21,6129070
2020-05-26 07:00:00,8.13,8.37,8.09,8.45,9494050
2020-05-27 07:00:00,8.53,8.13,8.13,8.57,6554400
2020-05-28 07:00:00,8.17,8.21,8.09,8.29,4370760
2020-05-29 07:00:00,8.21,8.09,8.09,8.21,3266210
2020-06-01 07:00:00,8.13,8.25,8.05,8.29,5895450
2020-06-02 07:00:00,8.25,8.29,8.21,8.53,8399210
2020-06-03 07:00:00,8.29,8.37,8.29,8.37,1852120
2020-06-04 07:00:00,8.37,8.37,8.33,8.45,4422880
2020-06-05 07:00:00,8.25,8.33,8.25,8.37,3629740
2020-06-08 07:00:00,8.37,8.45,8.33,8.64,9229590
2020-06-09 07:00:00,8.45,8.72,8.41,8.84,11287760
2020-06-10 07:00:00,8.76,8.88,8.64,9.16,8462490
2020-06-11 07:00:00,8.88,8.29,8.29,9.0,8025890
2020-06-12 07:00:00,7.9,8.25,7.86,8.25,8061350
2020-06-15 07:00:00,8.41,8.29,8.25,8.6,7993180
2020-06-16 07:00:00,8.57,8.45,8.37,8.57,2829510
2020-06-17 07:00:00,8.49,8.33,8.25,8.53,2289770
2020-06-18 07:00:00,8.21,8.21,8.13,8.29,2110880
2020-06-19 07:00:00,8.25,8.21,8.21,8.33,5510450
2020-06-22 07:00:00,8.37,8.29,8.25,8.45,3155170
2020-06-23 07:00:00,8.29,8.29,8.21,8.37,3121350
2020-06-24 07:00:00,8.29,8.17,8.13,8.33,3628640
2020-06-25 07:00:00,8.05,8.09,8.01,8.13,2011800
2020-06-26 07:00:00,8.21,8.05,8.01,8.21,2136030
2020-06-29 07:00:00,8.01,7.74,7.67,8.01,6871990
2020-06-30 07:00:00,7.9,7.66,7.52,7.9,3469960
2020-07-01 07:00:00,7.63,7.74,7.63,7.77,3392940
2020-07-02 07:00:00,7.78,7.59,7.58,7.78,3584950
2020-07-03 07:00:00,7.61,7.63,7.61,7.7,2215180
2020-07-06 07:00:00,7.7,7.89,7.64,7.89,2493770
2020-07-07 07:00:00,7.97,7.82,7.82,8.01,2967540
2020-07-08 07:00:00,7.78,7.78,7.77,7.84,1789350
2020-07-09 07:00:00,7.78,7.88,7.78,7.93,2363370
2020-07-10 07:00:00,7.87,7.93,7.87,8.01,4168490
2020-07-13 07:00:00,8.01,7.93,7.9,8.01,2304090
2020-07-14 07:00:00,7.9,7.93,7.86,7.93,1668900
2020-07-15 07:00:00,7.97,7.9,7.9,8.01,1994200
2020-07-16 07:00:00,7.93,7.97,7.9,7.97,2230860
2020-07-17 07:00:00,7.97,7.9,7.9,7.97,2046110
2020-07-20 07:00:00,7.9,7.78,7.78,7.93,2396230
2020-07-21 07:00:00,7.81,7.75,7.73,7.81,2969690
2020-07-22 07:00:00,7.75,7.68,7.67,7.77,2040390
2020-07-23 07:00:00,7.67,7.62,7.57,7.69,2756070
2020-07-24 07:00:00,7.59,7.35,7.09,7.6,8622390
2020-07-27 07:00:00,6.87,6.95,6.84,7.09,6562990
2020-07-28 07:00:00,6.96,7.35,6.96,7.4,4564900
2020-07-29 07:00:00,7.1,7.26,6.99,7.26,3664080
2020-07-30 07:00:00,7.14,7.35,7.14,7.35,1905540
2020-07-31 07:00:00,7.2,7.22,7.18,7.31,1251940
2020-08-03 07:00:00,7.22,7.3,7.21,7.34,3426170
2020-08-04 07:00:00,7.34,7.37,7.34,7.41,2082970
2020-08-05 07:00:00,7.38,7.53,7.34,7.54,3235640
2020-08-06 07:00:00,7.52,7.46,7.43,7.54,3196010
2020-08-07 07:00:00,7.45,7.42,7.37,7.46,2093060
2020-08-10 07:00:00,7.48,7.63,7.46,7.82,3089970
2020-08-11 07:00:00,7.63,7.57,7.51,7.7,1769040
2020-08-12 07:00:00,7.57,7.68,7.57,7.7,3841950
2020-08-13 07:00:00,7.68,7.85,7.68,7.86,3688550
2020-08-14 07:00:00,7.9,7.89,7.86,8.01,5822250
2020-08-17 07:00:00,7.9,7.78,7.74,7.9,2572150
2020-08-18 07:00:00,7.78,7.8,7.75,7.85,1150340
2020-08-19 07:00:00,7.82,8.05,7.5,8.05,3988970
2020-08-20 07:00:00,8.05,7.9,7.86,8.05,3244160
2020-08-21 07:00:00,7.93,7.93,7.86,7.97,1750300
2020-08-24 07:00:00,8.01,7.97,7.9,8.01,3766280
2020-08-25 07:00:00,7.97,7.9,7.9,8.05,3296630
2020-08-26 07:00:00,7.9,7.93,7.86,8.01,3805950
2020-08-27 07:00:00,7.97,7.93,7.93,8.05,2666720
2020-08-28 07:00:00,7.97,7.97,7.97,8.09,4044750
2020-08-31 07:00:00,8.01,7.93,7.9,8.05,2433320
2020-09-01 07:00:00,7.93,7.93,7.88,7.97,2752820
2020-09-03 07:00:00,7.97,8.29,7.93,8.29,9666670
2020-09-04 07:00:00,8.13,8.21,8.09,8.25,2306270
2020-09-07 07:00:00,8.21,7.93,7.93,8.25,3614980
2020-09-08 07:00:00,7.93,7.93,7.87,7.97,5113310
2020-09-09 07:00:00,7.82,7.9,7.81,7.93,2351140
2020-09-10 07:00:00,7.93,7.93,7.9,8.01,1980990
2020-09-11 07:00:00,7.9,7.9,7.86,7.97,4063310
2020-09-14 07:00:00,7.9,7.9,7.89,7.97,4308150
2020-09-15 07:00:00,7.9,8.01,7.9,8.05,4040120
2020-09-16 07:00:00,8.01,8.01,7.93,8.05,1159380
2020-09-17 07:00:00,8.01,7.9,7.9,8.05,2820640
2020-09-18 07:00:00,7.93,7.9,7.89,7.97,7011680
2020-09-21 07:00:00,7.97,7.97,7.9,8.01,4680630
2020-09-22 07:00:00,7.93,7.9,7.9,7.97,5109720
2020-09-23 07:00:00,7.97,8.21,7.93,8.21,12209340
2020-09-24 07:00:00,8.21,8.09,8.05,8.29,4775560
2020-09-25 07:00:00,8.13,8.01,7.97,8.13,2824500
2020-09-28 07:00:00,8.05,8.01,7.97,8.09,4881850
2020-09-29 07:00:00,8.09,8.01,8.01,8.21,9799620
2020-09-30 07:00:00,8.01,8.09,8.01,8.17,3394810
