time,open,close,low,high,volume
2020-01-02 07:00:00,51.06,51.1,50.66,51.1,440280
2020-01-03 07:00:00,51.1,51.24,50.79,51.24,248940
2020-01-06 07:00:00,51.1,50.88,50.84,51.1,301910
2020-01-07 07:00:00,50.88,50.97,50.79,51.1,183910
2020-01-08 07:00:00,50.88,50.79,50.48,50.97,468910
2020-01-09 07:00:00,50.79,50.97,50.75,51.15,273870
2020-01-10 07:00:00,51.1,51.02,50.97,51.1,159120
2020-01-13 07:00:00,50.97,51.06,50.88,51.15,146680
2020-01-14 07:00:00,51.06,51.1,50.79,51.15,101150
2020-01-15 07:00:00,51.1,51.1,50.79,51.1,205600
2020-01-16 07:00:00,51.1,51.1,50.79,51.15,186740
2020-01-17 07:00:00,51.06,51.06,50.84,51.15,169100
2020-01-20 07:00:00,51.06,51.06,50.79,51.06,370670
2020-01-21 07:00:00,50.79,51.06,50.79,51.1,181510
2020-01-22 07:00:00,51.06,51.06,50.75,51.06,371780
2020-01-30 07:00:00,50.7,51.06,49.82,51.06,682720
2020-01-31 07:00:00,51.06,51.02,50.48,51.06,831740
2020-02-03 07:00:00,50.57,51.02,49.9,51.02,760420
2020-02-04 07:00:00,50.48,51.02,49.68,51.02,1485500
2020-02-05 07:00:00,51.02,50.88,50.22,51.02,468420
2020-02-06 07:00:00,50.84,50.84,50.13,50.97,676290
2020-02-07 07:00:00,50.66,50.84,49.77,50.84,1295520
2020-02-10 07:00:00,50.22,50.53,50.22,50.7,192700
2020-02-11 07:00:00,50.44,50.39,50.22,50.75,290630
2020-02-12 07:00:00,50.39,49.77,49.77,50.39,452790
2020-02-13 07:00:00,49.55,49.95,49.5,50.08,285340
2020-02-14 07:00:00,49.9,48.88,48.88,50.04,252390
2020-02-17 07:00:00,48.88,48.0,46.66,48.88,742220
2020-02-18 07:00:00,47.55,46.44,46.22,47.55,791870
2020-02-19 07:00:00,46.0,46.66,46.0,47.55,875320
2020-02-20 07:00:00,47.11,48.88,46.66,48.88,353570
2020-02-21 07:00:00,48.26,48.84,47.91,48.88,309060
2020-02-24 07:00:00,47.6,47.68,46.88,48.0,1428650
2020-02-25 07:00:00,47.42,47.55,47.06,47.68,543820
2020-02-26 07:00:00,46.22,47.06,46.22,47.37,625410
2020-02-27 07:00:00,47.02,46.93,46.26,47.11,740420
2020-02-28 07:00:00,46.66,46.84,45.77,46.84,870840
2020-03-02 07:00:00,46.22,46.84,45.64,46.84,742130
2020-03-03 07:00:00,46.71,46.88,46.44,46.93,557950
2020-03-04 07:00:00,46.48,46.88,46.0,46.88,443810
2020-03-05 07:00:00,46.71,46.93,46.13,47.06,352300
2020-03-06 07:00:00,46.66,46.66,45.82,46.66,750830
2020-03-09 07:00:00,45.11,43.42,43.42,45.33,966890
2020-03-10 07:00:00,41.33,43.42,40.53,44.08,825490
2020-03-11 07:00:00,43.55,43.11,40.48,43.55,1049580
2020-03-12 07:00:00,40.44,40.8,40.13,41.02,1896270
2020-03-13 07:00:00,38.22,41.11,37.95,41.11,1226880
2020-03-16 07:00:00,40.88,41.11,38.48,41.11,971340
2020-03-17 07:00:00,39.77,39.33,38.93,41.02,681330
2020-03-18 07:00:00,39.06,39.55,38.44,39.99,785390
2020-03-19 07:00:00,38.62,39.42,36.93,39.42,1103680
2020-03-20 07:00:00,39.42,36.66,36.66,39.42,1083480
2020-03-23 07:00:00,34.66,34.13,34.13,34.8,678160
2020-03-24 07:00:00,31.91,31.77,31.77,33.33,1474050
2020-03-25 07:00:00,31.77,34.0,30.22,34.0,1401570
2020-03-26 07:00:00,34.48,36.35,33.6,36.35,1242250
2020-03-27 07:00:00,36.44,38.57,35.33,38.84,1149310
2020-03-30 07:00:00,35.91,36.17,35.91,36.44,881240
2020-03-31 07:00:00,36.17,37.06,35.73,38.66,1296450
2020-04-01 07:00:00,36.66,38.22,36.0,38.66,437820
2020-04-03 07:00:00,38.22,40.44,38.22,40.44,1184500
2020-04-06 07:00:00,40.88,43.24,40.57,43.24,2698260
2020-04-07 07:00:00,43.37,43.24,41.33,44.84,2855700
2020-04-08 07:00:00,43.11,41.77,41.77,43.11,760120
2020-04-09 07:00:00,41.77,42.66,41.68,43.24,1560610
2020-04-10 07:00:00,42.66,42.22,41.64,43.02,983120
2020-04-13 07:00:00,42.57,42.66,42.17,42.66,1411550
2020-04-14 07:00:00,42.88,42.48,42.0,42.88,631630
2020-04-15 07:00:00,42.48,42.66,42.17,42.66,1176850
2020-04-16 07:00:00,42.66,42.62,42.08,42.66,845580
2020-04-17 07:00:00,42.35,42.71,39.64,42.71,1191510
2020-04-20 07:00:00,42.71,42.75,42.17,42.84,1055020
2020-04-21 07:00:00,42.44,41.33,41.11,42.44,892270
2020-04-22 07:00:00,40.88,41.11,40.22,41.24,884070
2020-04-23 07:00:00,41.33,41.33,41.2,42.17,347420
2020-04-24 07:00:00,41.33,41.33,41.06,41.73,300240
2020-04-27 07:00:00,42.22,40.88,40.88,42.22,453720
