date,source,ticker_mentioned,comment,title,phobert_label,phobert_score,sentiment_score
2024-01-02,CafeF,VCB,"VNM ETF sẽ mua mới MCH, VCK, VPX và tăng tỷ trọng VIX đồng thời bán bớt lượng lớn nhiều cổ phiếu như HPG, VCB, VNM, SSI, MSN...","Quỹ ETF ngoại quy mô 15.000 tỷ thêm mới MCH, VCK, VPX, dự kiến bán mạnh loạt Bluechips HPG,VCB, VNM…",NEU,0.6333510279655457,0.0
2024-01-03,CafeF,VCB,"Phiên 10/3 ghi nhận sự phục hồi đồng loạt của nhóm cổ phiếu ngân hàng sau nhịp điều chỉnh mạnh trước đó. Thanh khoản tại nhiều mã lớn duy trì ở mức cao cho thấy dòng tiền bắt đáy đã quay trở lại, giúp toàn ngành lấy lại phần nào những gì đã mất trong phiên hôm qua.","Tiền bắt đáy ồ ạt đổ vào, loạt cổ phiếu ngân hàng bật tăng mạnh: STB và MBB tím trần, ACB, CTG,VCBhồi phục ấn tượng",POS,0.7874435186386108,0.7874435186386108
2024-01-04,CafeF,VCB,Một Phó Tổng giám đốc Ngân hàng TMCP Ngoại thương Việt Nam (Vietcombank) vừa mua vào cổ phiếu VCB và một Thành viên HĐQT cũng đã đăng ký mua.,Loạt sếp Vietcombank mua vào cổ phiếuVCB,POS,0.644352376461029,0.644352376461029
2024-01-05,CafeF,VCB,"Bà Phùng Nguyễn Hải Yến- Phó Tổng Giám đốc Vietcombank, vừa có báo cáo về việc mua vào 10.000 cổ phiếu VCB, qua đó nâng sở hữu lên 0,00072% vốn ngân hàng.",Lãnh đạo Vietcombank gom thêm cổ phiếuVCB,NEG,0.6828408241271973,-0.6828408241271973
2024-01-08,CafeF,VCB,"Bà Phùng Nguyễn Hải Yến, Phó Tổng Giám đốc Vietcombank, vừa mua vào 10.000 cổ phiếu VCB trong phiên 23/2, nâng lượng cổ phần nắm giữ lên hơn 52.000 đơn vị. Ông Nguyễn Tuấn Anh - một Thành viên HĐQT ngân hàng - cũng đăng ký mua 18.000 cổ phiếu trong thời gian tới.","Giám đốc Khối Dữ liệu Vietcombank vừa mua khớp lệnh cổ phiếuVCB, thành viên HĐQT cũng đăng ký mua",NEU,0.5827324390411377,0.0
2024-01-09,CafeF,VCB,"Kết phiên giao dịch 23/2, nhóm cổ phiếu ngân hàng ghi nhận 25 mã tăng và 2 mã đứng giá tham chiếu. Trong đó, VCB và BID dẫn dầu tăng giá bất chấp đà bán ròng mạnh của khối ngoại.","Cổ phiếu ngân hàng khai xuân ấn tượng: 25 mã tăng giá, BID vàVCBgây chú ý",NEU,0.8534421324729919,0.0
2024-01-10,CafeF,VCB,"Phó Tổng Giám đốc Vietcombank Phùng Nguyễn Hải Yến vừa đăng ký mua thêm 10.000 cổ phiếu VCB theo phương thức khớp lệnh, với mục đích đầu tư. Giao dịch dự kiến được thực hiện trong khoảng thời gian từ ngày 10/02 đến 09/03/2026.",Giám đốc Khối Dữ liệu Vietcombank đăng ký mua cổ phiếuVCB,POS,0.8594242334365845,0.8594242334365845
2024-01-11,CafeF,VCB,"Dịp Tết, nhu cầu đi lại và về quê sum họp tăng cao. Nắm bắt xu hướng người dùng ngày càng ưu tiên các nền tảng số, VCB Digibank triển khai chương trình “Ưu đãi đổ bộ – Di chuyển cực vui” nhằm giúp khách hàng tiết kiệm chi phí và chủ động hơn trong việc di chuyển.","Tết cận kề: Đặt vé máy bay, tàu xe quaVCBDigibank nhận ngay ưu đãi lên tới 50%",POS,0.9915968775749207,0.9915968775749207
2024-01-12,CafeF,VCB,"Thị trường chứng khoán ngày 8/1 ghi nhận áp lực chốt lời ở nhóm Vingroup trong khi cổ phiếu ""vua"" đỡ trụ. Kết quả VN-Index điều chỉnh sau phiên tăng nóng hôm qua.","Chứng khoán ngày 8/1:VCBtím trần, VN-Index điều chỉnh",NEU,0.9029816389083862,0.0
2024-01-15,CafeF,VCB,"Với mức giá đóng cửa 57.900 đồng/cp, STB hiện là cổ phiếu ngân hàng có thị giá cao nhất.","Giá cổ phiếu STB vượtVCB, trở thành mã chứng khoán có thị giá cao nhất ngành ngân hàng",POS,0.9522242546081543,0.9522242546081543
