Mã CP,Model,Accuracy,Precision,Recall,F1-Score
VCB,LogisticRegression,0.5709459459459459,0.5271895568428415,0.5709459459459459,0.4702856605745852
VCB,RandomForest_Cls,0.5540540540540541,0.5332040025792577,0.5540540540540541,0.5302107747529216
VCB,XGBoost_Cls,0.5337837837837838,0.5128824810313519,0.5337837837837838,0.513791465362146
FPT,LogisticRegression,0.5033783783783784,0.6295784201189607,0.5033783783783784,0.427929525128355
FPT,RandomForest_Cls,0.4831081081081081,0.5912586454411549,0.4831081081081081,0.39784179822155963
FPT,XGBoost_Cls,0.46959459459459457,0.5212826368428028,0.46959459459459457,0.4157395983145151
HPG,LogisticRegression,0.5641891891891891,0.5867310167310168,0.5641891891891891,0.46167536843701307
HPG,RandomForest_Cls,0.527027027027027,0.5141345228723869,0.527027027027027,0.5088498824911869
HPG,XGBoost_Cls,0.5304054054054054,0.520516940567702,0.5304054054054054,0.51802652653251
VIC,LogisticRegression,0.46621621621621623,0.5717915424321117,0.46621621621621623,0.3397167318759893
VIC,RandomForest_Cls,0.4594594594594595,0.5706438145462536,0.4594594594594595,0.31657238633982826
VIC,XGBoost_Cls,0.44256756756756754,0.2002091377091377,0.44256756756756754,0.2756978289765175
POW,LogisticRegression,0.5472972972972973,0.522158636746006,0.5472972972972973,0.45673076176952154
POW,RandomForest_Cls,0.5574324324324325,0.5489234570391286,0.5574324324324325,0.4670259637222212
POW,XGBoost_Cls,0.5371621621621622,0.5137809684684684,0.5371621621621622,0.4870968983872209
